release_month,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,start_year,count,release_year
Apr ,27824300.518134713,33121333.23834197,80478462.39378238,1.8484816610051669,3.110310368106319,2013.720207253886,1.0,2010.2487046632125
Aug ,28440486.187845305,34545466.82872928,72114284.73480663,2.2048681372924044,4.379422553272495,2013.646408839779,1.0,2009.7237569060774
Dec ,31153395.833333332,39839302.190972224,96902612.05902778,1.4860359408290258,2.723733035622056,2013.892361111111,1.0,2009.923611111111
Feb ,34517290.32258064,44730314.948387094,98048363.76129033,1.691451667019564,2.9024485483477513,2014.090322580645,1.0,2011.6129032258063
Jan ,26602715.277777776,27498726.493055556,65020175.5625,2.256339673874342,4.1857811822566315,2013.7222222222222,1.0,2010.798611111111
Jul ,45728511.9047619,59091897.5952381,153768958.70238096,3.25361808908927,6.230083111229062,2013.4642857142858,1.0,2011.3154761904761
Jun ,53126335.12068965,76698869.49425288,189925307.9597701,1.8920684348986454,3.7033367923250853,2014.0114942528735,1.0,2010.344827586207
Mar ,41805394.537234046,47928191.43617021,113323859.11170213,1.43362583378242,2.521985051367708,2013.9202127659576,1.0,2012.1010638297873
May ,54926058.178807944,62801208.49668874,163457744.64900663,2.0583103757669985,3.4222637418600246,2013.708609271523,1.0,2010.8344370860927
Nov ,47857954.52910053,60471562.18518519,155663440.06878307,2.5758493702604173,4.850257263227301,2014.042328042328,1.0,2010.026455026455
Oct ,23993035.714285713,25607214.129464287,60797877.51339286,1.7676349844524775,3.54326825960674,2013.825892857143,1.0,2009.5848214285713
Sep ,24715373.98989899,26754950.888888888,57647316.13636363,1.3976789881371483,2.762788423030089,2013.6262626262626,1.0,2010.7171717171718
